@relation "asm"

@attribute iid numeric
@attribute enclosureType string
@attribute catchedType string
@attribute isFromArgument {true, false}
@attribute varNames string
@attribute varTypes string
@attribute constants string
@attribute methodNames string
@attribute methodExceptions string
@attribute otherExceptions string
@attribute classid{org.objectweb.asm.tree.analysis.AnalyzerException,java.lang.IllegalStateException,java.lang.AssertionError,java.lang.UnsupportedOperationException,java.lang.IllegalArgumentException,org.objectweb.asm.tree.UnsupportedClassVersionException}

@data
0,"IfStatement","null",false,"","int ","","pop getSize ","AnalyzerException ","org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException ",org.objectweb.asm.tree.analysis.AnalyzerException
1,"IfStatement","null",false,"","int ","","pop getSize ","AnalyzerException ","org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException ",org.objectweb.asm.tree.analysis.AnalyzerException
2,"IfStatement","null",false,"value1 ","int ","","getSize ","AnalyzerException ","org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException ",org.objectweb.asm.tree.analysis.AnalyzerException
3,"IfStatement","null",false,"value2 value1 ","int ","","getSize ","AnalyzerException ","org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException ",org.objectweb.asm.tree.analysis.AnalyzerException
4,"SwitchStatement","null",true,"insn ","org.objectweb.asm.tree.AbstractInsnNode int ","","getOpcode ","AnalyzerException ","org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException ",org.objectweb.asm.tree.analysis.AnalyzerException
5,"SwitchStatement","null",true,"insn ","org.objectweb.asm.tree.AbstractInsnNode int ","","getOpcode ","AnalyzerException ","org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException ",org.objectweb.asm.tree.analysis.AnalyzerException
6,"SwitchStatement","null",true,"insn ","org.objectweb.asm.tree.AbstractInsnNode int ","","getOpcode ","AnalyzerException ","org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException ",org.objectweb.asm.tree.analysis.AnalyzerException
7,"SwitchStatement","null",true,"insn ","org.objectweb.asm.tree.AbstractInsnNode int ","","getOpcode ","AnalyzerException ","org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException ",org.objectweb.asm.tree.analysis.AnalyzerException
8,"IfStatement","null",false,"value2 value1 ","int ","","getSize ","AnalyzerException ","org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException ",org.objectweb.asm.tree.analysis.AnalyzerException
9,"IfStatement","null",false,"return value ","","NULL ","","AnalyzerException ","org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException ",org.objectweb.asm.tree.analysis.AnalyzerException
