@relation "commons-io"

@attribute iid numeric
@attribute enclosureType string
@attribute catchedType string
@attribute isFromArgument {true, false}
@attribute varNames string
@attribute varTypes string
@attribute constants string
@attribute methodNames string
@attribute methodExceptions string
@attribute otherExceptions string
@attribute classid{java.lang.IllegalArgumentException,java.io.EOFException,java.io.IOException,java.lang.IllegalStateException,java.lang.NullPointerException,java.lang.UnsupportedOperationException,java.io.UnsupportedEncodingException,org.apache.commons.io.input.XmlStreamReaderException,org.apache.commons.io.input.compatibility.XmlStreamReaderException}

@data
0,"MethodDeclaration","null",true,"big_endian value little_endian ","java.lang.String java.nio.ByteOrder boolean ","","equals toString ","","",java.lang.IllegalArgumentException
1,"IfStatement","null",false,"value eof ","int ","","","IOException ","",java.io.EOFException
2,"IfStatement","null",true,"file to delete ","java.io.File boolean ","","exists doDelete ","IOException ","",java.io.IOException
3,"IfStatement","null",true,"replacement ","char boolean ","","isIllegalFileNameChar ","","",java.lang.IllegalArgumentException
4,"IfStatement","null",false,"os name ","java.lang.String ","NULL ","","","",java.io.IOException
5,"IfStatement","null",true,"path ","java.lang.String ","NULL ","","IOException ","java.lang.IllegalStateException java.lang.IllegalStateException ",java.lang.IllegalArgumentException
6,"SwitchStatement","null",true,"","int ","","","IOException ","java.lang.IllegalArgumentException java.lang.IllegalStateException ",java.lang.IllegalStateException
7,"SwitchStatement","null",true,"","int ","","","IOException ","java.lang.IllegalArgumentException java.lang.IllegalStateException ",java.lang.IllegalStateException
8,"IfStatement","null",false,"norm path ","java.lang.String ","NULL ","","IOException ","java.io.IOException ",java.lang.IllegalArgumentException
9,"MethodDeclaration","null",false,"line norm path ","java.lang.String int char ","NULL ","length charAt ","IOException ","java.lang.IllegalArgumentException ",java.io.IOException
10,"IfStatement","null",false,"","int ","","","IOException ","",java.io.IOException
11,"IfStatement","null",true,"path ","java.lang.String boolean ","","isEmpty ","IOException ","java.io.IOException java.io.IOException ",java.lang.IllegalArgumentException
12,"IfStatement","null",false,"lines ","java.util.List int ","","size ","IOException ","java.lang.IllegalArgumentException java.io.IOException ",java.io.IOException
13,"IfStatement","null",false,"lines tok ","int java.util.List java.util.StringTokenizer ","","size countTokens ","IOException ","java.lang.IllegalArgumentException java.io.IOException ",java.io.IOException
14,"IfStatement","null",false,"bytes ","long ","","","IOException ","java.io.IOException ",java.io.IOException
15,"CatchClause","java.lang.NumberFormatException",true,"bytes path free space ","long java.lang.String java.lang.Long java.io.IOException ","Command line ' '- check path is valid for path ' ' did not find free space in response  ","parseLong ","IOException ","java.io.IOException ",java.io.IOException
16,"IfStatement","null",false,"proc ","java.lang.Process int ","","exitValue ","IOException ","java.io.IOException java.io.IOException ",java.io.IOException
17,"IfStatement","null",false,"lines ","java.util.List boolean ","","isEmpty ","IOException ","java.io.IOException java.io.IOException ",java.io.IOException
18,"CatchClause","java.lang.InterruptedException",true,"english err out cmd attribs inr proc max timeout monitor lines ","java.io.InputStream java.lang.String java.lang.Process java.io.BufferedReader java.util.List java.io.OutputStream int java.lang.Thread java.lang.String void java.util.Locale ","NULL Command line did not return any info  Command line returned OS error code ' for command  ' for command  ","close exitValue readLine asList toLowerCase start getInputStream trim getOutputStream isEmpty waitFor ","IOException ","java.io.IOException java.io.IOException ",java.io.IOException
19,"IfStatement","null",true,"stream ","java.io.OutputStream ","NULL ","","IOException ArrayIndexOutOfBoundsException IllegalArgumentException ","java.lang.ArrayIndexOutOfBoundsException ",java.lang.IllegalArgumentException
20,"IfStatement","null",true,"start directory ","java.io.File ","NULL ","","IOException ","",java.lang.NullPointerException
21,"MethodDeclaration","null",true,"name io case ","java.lang.String org.apache.commons.io.IOCase boolean ","","equals getName ","","",java.lang.IllegalArgumentException
22,"IfStatement","null",true,"str2 str1 ","java.lang.String ","NULL ","","","",java.lang.NullPointerException
23,"IfStatement","null",true,"str2 str1 ","java.lang.String ","NULL ","","","",java.lang.NullPointerException
24,"IfStatement","null",true,"charset name ","java.lang.String boolean ","NULL ","isEmpty ","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
25,"IfStatement","null",true,"bytes length ","int int ","NULL ","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
26,"IfStatement","null",true,"directory ","java.io.File ","NULL ","","","java.lang.NullPointerException ",java.lang.NullPointerException
27,"IfStatement","null",true,"names ","java.lang.String ","NULL ","","","java.lang.NullPointerException ",java.lang.NullPointerException
28,"IfStatement","null",true,"names ","java.lang.String ","NULL ","","","",java.lang.NullPointerException
29,"IfStatement","null",true,"file ","java.io.File boolean ","","isDirectory ","IOException ","java.io.IOException java.io.FileNotFoundException ",java.io.IOException
30,"IfStatement","null",true,"file ","java.io.File boolean ","","canRead ","IOException ","java.io.IOException java.io.FileNotFoundException ",java.io.IOException
31,"IfStatement","null",true,"file ","java.io.File boolean ","","isDirectory ","IOException ","java.io.IOException java.io.IOException ",java.io.IOException
32,"IfStatement","null",true,"file ","java.io.File boolean ","","canWrite ","IOException ","java.io.IOException java.io.IOException ",java.io.IOException
33,"IfStatement","null",false,"parent ","java.io.File boolean ","","mkdirs isDirectory ","IOException ","java.io.IOException java.io.IOException ",java.io.IOException
34,"IfStatement","null",false,"success ","boolean ","","","IOException ","",java.io.IOException
35,"IfStatement","null",true,"directory ","java.io.File boolean ","","isDirectory ","","java.lang.NullPointerException ",java.lang.IllegalArgumentException
36,"IfStatement","null",true,"file filter ","org.apache.commons.io.filefilter.IOFileFilter ","NULL ","","","java.lang.IllegalArgumentException ",java.lang.NullPointerException
37,"IfStatement","null",true,"file2 file1 ","java.io.File boolean ","","isDirectory ","IOException ","",java.io.IOException
38,"IfStatement","null",true,"file2 file1 ","java.io.File boolean ","","isDirectory ","IOException ","",java.io.IOException
39,"IfStatement","null",false,"url ","java.net.URL java.lang.String boolean ","file ","getProtocol equals ","","",java.lang.IllegalArgumentException
40,"IfStatement","null",true,"dest dir ","java.io.File ","NULL ","","IOException ","java.lang.IllegalArgumentException ",java.lang.NullPointerException
41,"IfStatement","null",true,"dest dir ","java.io.File boolean ","","isDirectory exists ","IOException ","java.lang.NullPointerException ",java.lang.IllegalArgumentException
42,"IfStatement","null",true,"src file ","java.io.File boolean ","","isDirectory ","IOException ","java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
43,"IfStatement","null",true,"src file dest file ","java.io.File java.lang.String boolean ","","getCanonicalPath equals ","IOException ","java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
44,"IfStatement","null",false,"parent file ","java.io.File boolean ","","mkdirs isDirectory ","IOException ","java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
45,"IfStatement","null",true,"dest file ","java.io.File boolean ","","exists canWrite ","IOException ","java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
46,"IfStatement","null",true,"dest file ","java.io.File boolean ","","isDirectory exists ","IOException ","java.io.IOException ",java.io.IOException
47,"IfStatement","null",false,"src len dst len ","long ","","","IOException ","java.io.IOException ",java.io.IOException
48,"IfStatement","null",true,"src dir ","java.io.File ","NULL ","","IOException ","java.lang.IllegalArgumentException java.lang.NullPointerException java.lang.IllegalArgumentException ",java.lang.NullPointerException
49,"IfStatement","null",true,"src dir ","java.io.File boolean ","","isDirectory exists ","IOException ","java.lang.NullPointerException java.lang.NullPointerException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
50,"IfStatement","null",true,"dest dir ","java.io.File ","NULL ","","IOException ","java.lang.NullPointerException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.NullPointerException
51,"IfStatement","null",true,"dest dir ","java.io.File boolean ","","isDirectory exists ","IOException ","java.lang.NullPointerException java.lang.IllegalArgumentException java.lang.NullPointerException ",java.lang.IllegalArgumentException
52,"IfStatement","null",true,"src dir ","java.io.File boolean ","","isDirectory ","IOException ","java.io.IOException ",java.io.IOException
53,"IfStatement","null",true,"dest dir src dir ","java.io.File java.lang.String boolean ","","getCanonicalPath equals ","IOException ","java.io.IOException ",java.io.IOException
54,"IfStatement","null",true,"src ","java.io.File ","NULL ","","FileNotFoundException ","java.lang.NullPointerException java.io.FileNotFoundException ",java.lang.NullPointerException
55,"IfStatement","null",true,"dest ","java.io.File ","NULL ","","FileNotFoundException ","java.lang.NullPointerException java.io.FileNotFoundException ",java.lang.NullPointerException
56,"IfStatement","null",false,"src files ","java.io.File ","NULL ","","IOException ","java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
57,"IfStatement","null",true,"dest dir ","java.io.File boolean ","","isDirectory ","IOException ","java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
58,"IfStatement","null",true,"dest dir ","java.io.File boolean ","","mkdirs isDirectory ","IOException ","java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
59,"IfStatement","null",true,"dest dir ","java.io.File boolean ","","canWrite ","IOException ","java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
60,"IfStatement","null",true,"src ","java.io.File ","NULL ","","IOException ","java.io.IOException ",java.lang.NullPointerException
61,"IfStatement","null",true,"src ","java.io.File boolean ","","isDirectory ","IOException ","java.lang.NullPointerException ",java.io.IOException
62,"IfStatement","null",true,"srcs ","java.lang.Iterable ","NULL ","","IOException ","",java.lang.NullPointerException
63,"IfStatement","null",true,"directory ","java.io.File boolean ","","delete ","IOException ","",java.io.IOException
64,"IfStatement","null",true,"directory ","java.io.File ","NULL ","","IOException ","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
65,"IfStatement","null",true,"directory ","java.io.File boolean ","","isDirectory ","IOException ","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
66,"IfStatement","null",false,"exception ","java.io.IOException ","NULL ","","IOException ","",java.io.IOException
67,"IfStatement","null",true,"directory ","java.io.File boolean ","","exists ","IOException ","java.lang.IllegalArgumentException java.io.IOException ",java.lang.IllegalArgumentException
68,"IfStatement","null",true,"directory ","java.io.File boolean ","","isDirectory ","IOException ","java.lang.IllegalArgumentException java.io.IOException ",java.lang.IllegalArgumentException
69,"IfStatement","null",false,"files ","java.io.File ","NULL ","","IOException ","java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.io.IOException
70,"IfStatement","null",true,"file ","java.io.File boolean ","","delete ","IOException ","java.io.FileNotFoundException ",java.io.IOException
71,"IfStatement","null",false,"exception ","java.io.IOException ","NULL ","","IOException ","",java.io.IOException
72,"IfStatement","null",true,"directory ","java.io.File boolean ","","isDirectory ","IOException ","java.io.IOException ",java.io.IOException
73,"IfStatement","null",true,"directory ","java.io.File boolean ","","isDirectory ","IOException ","java.io.IOException ",java.io.IOException
74,"IfStatement","null",true,"file ","java.io.File boolean ","","exists ","","",java.lang.IllegalArgumentException
75,"IfStatement","null",true,"file ","java.io.File boolean ","","exists ","","",java.lang.IllegalArgumentException
76,"IfStatement","null",true,"directory ","java.io.File boolean ","","exists ","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
77,"IfStatement","null",true,"directory ","java.io.File boolean ","","isDirectory ","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
78,"IfStatement","null",true,"reference ","java.io.File ","NULL ","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
79,"IfStatement","null",true,"reference ","java.io.File boolean ","","exists ","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
80,"IfStatement","null",true,"date ","java.util.Date ","NULL ","","","",java.lang.IllegalArgumentException
81,"IfStatement","null",true,"file ","java.io.File ","NULL ","","","",java.lang.IllegalArgumentException
82,"IfStatement","null",true,"reference ","java.io.File ","NULL ","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
83,"IfStatement","null",true,"reference ","java.io.File boolean ","","exists ","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
84,"IfStatement","null",true,"date ","java.util.Date ","NULL ","","","",java.lang.IllegalArgumentException
85,"IfStatement","null",true,"file ","java.io.File ","NULL ","","","",java.lang.IllegalArgumentException
86,"IfStatement","null",true,"file ","java.io.File boolean ","","isDirectory ","IOException ","",java.lang.IllegalArgumentException
87,"IfStatement","null",true,"src dir ","java.io.File boolean ","","isDirectory ","IOException ","org.apache.commons.io.FileExistsException java.io.IOException java.io.IOException ",java.io.IOException
88,"IfStatement","null",true,"dest dir separator src dir ","java.io.File java.lang.String boolean ","","getCanonicalPath startsWith ","IOException ","java.io.IOException org.apache.commons.io.FileExistsException java.io.IOException ",java.io.IOException
89,"IfStatement","null",true,"src dir ","java.io.File boolean ","","exists ","IOException ","java.io.IOException org.apache.commons.io.FileExistsException java.io.IOException ",java.io.IOException
90,"IfStatement","null",true,"dest dir ","java.io.File boolean ","","isDirectory ","IOException ","java.io.FileNotFoundException ",java.io.IOException
91,"IfStatement","null",true,"src file ","java.io.File boolean ","","isDirectory ","IOException ","org.apache.commons.io.FileExistsException java.io.IOException java.io.IOException ",java.io.IOException
92,"IfStatement","null",true,"dest file ","java.io.File boolean ","","isDirectory ","IOException ","java.io.IOException org.apache.commons.io.FileExistsException java.io.IOException ",java.io.IOException
93,"IfStatement","null",true,"src file ","java.io.File boolean ","","delete ","IOException ","java.io.IOException org.apache.commons.io.FileExistsException java.io.IOException ",java.io.IOException
94,"IfStatement","null",true,"dest dir ","java.io.File boolean ","","isDirectory ","IOException ","java.io.FileNotFoundException ",java.io.IOException
95,"IfStatement","null",true,"src ","java.io.File ","NULL ","","FileNotFoundException ","java.lang.NullPointerException java.io.FileNotFoundException ",java.lang.NullPointerException
96,"IfStatement","null",true,"dest ","java.io.File ","NULL ","","FileNotFoundException ","java.lang.NullPointerException java.io.FileNotFoundException ",java.lang.NullPointerException
97,"IfStatement","null",true,"file ","java.io.File ","NULL ","","IOException ","",java.lang.NullPointerException
98,"IfStatement","null",true,"file ","java.io.File ","NULL ","","","",java.lang.NullPointerException
99,"IfStatement","null",true,"path ","java.lang.String ","NULL ","","","",java.lang.NullPointerException
100,"IfStatement","null",false,"exit when finished ","boolean ","","","","",java.lang.IllegalStateException
101,"IfStatement","null",true,"canonical parent ","java.lang.String ","NULL ","","IOException ","",java.lang.IllegalArgumentException
102,"IfStatement","null",false,"offset ","int ","","","IllegalArgumentException ","",java.lang.IllegalArgumentException
103,"IfStatement","null",true,"path ","java.lang.String int char ","","charAt ","","",java.lang.IllegalArgumentException
104,"IfStatement","null",true,"file name2 file name1 ","java.lang.String ","NULL ","","","",java.lang.NullPointerException
105,"IfStatement","null",true,"output stream ","java.io.OutputStream ","NULL ","","","",java.lang.NullPointerException
106,"IfStatement","null",true,"output stream ","java.io.OutputStream ","NULL ","","","",java.lang.NullPointerException
107,"IfStatement","null",true,"input stream ","java.io.InputStream ","NULL ","","","",java.lang.NullPointerException
108,"IfStatement","null",true,"input stream ","java.io.InputStream ","NULL ","","","",java.lang.NullPointerException
109,"IfStatement","null",true,"size max_value ","int long java.lang.Integer ","","","IOException ","",java.lang.IllegalArgumentException
110,"IfStatement","null",true,"size ","int ","","","IOException ","java.io.IOException ",java.lang.IllegalArgumentException
