@relation "itext"

@attribute iid numeric
@attribute enclosureType string
@attribute catchedType string
@attribute isFromArgument {true, false}
@attribute varNames string
@attribute varTypes string
@attribute constants string
@attribute methodNames string
@attribute methodExceptions string
@attribute otherExceptions string
@attribute classid{java.lang.IllegalArgumentException,java.lang.IndexOutOfBoundsException,com.itextpdf.kernel.PdfException,java.lang.UnsupportedOperationException,java.lang.RuntimeException,com.itextpdf.barcodes.qrcode.WriterException,com.itextpdf.io.IOException,java.io.IOException,java.lang.IllegalStateException,com.itextpdf.io.codec.brotli.dec.BrotliRuntimeException,com.itextpdf.io.font.woff2.FontCompressionException,java.io.EOFException,com.itextpdf.kernel.xmp.XMPException,com.itextpdf.pdfa.PdfAConformanceException,com.itextpdf.svg.exceptions.SvgProcessingException}

@data
0,"CatchClause","java.io.UnsupportedEncodingException",true,"encoding text ","java.lang.String byte ","","getBytes ","","",java.lang.IllegalArgumentException
1,"IfStatement","null",true,"text offset ","int ","","","","java.lang.IndexOutOfBoundsException ",java.lang.IndexOutOfBoundsException
2,"IfStatement","null",true,"length text size text offset text ","int byte ","","","","java.lang.IndexOutOfBoundsException ",java.lang.IndexOutOfBoundsException
3,"IfStatement","null",false,"codewords max_data_codewords len codewords ","int int ","","","","com.itextpdf.kernel.PdfException com.itextpdf.kernel.PdfException ",com.itextpdf.kernel.PdfException
4,"IfStatement","null",false,"code ","byte ","NULL ","","","com.itextpdf.kernel.PdfException com.itextpdf.kernel.PdfException ",com.itextpdf.kernel.PdfException
5,"IfStatement","null",false,"absolute_max_text_size length code ","int byte ","","","","com.itextpdf.kernel.PdfException com.itextpdf.kernel.PdfException ",com.itextpdf.kernel.PdfException
6,"IfStatement","null",false,"cw ptr size max_data_codewords ","int ","","","","",com.itextpdf.kernel.PdfException
7,"IfStatement","null",false,"cw ptr size max_data_codewords ","int ","","","","",com.itextpdf.kernel.PdfException
8,"IfStatement","null",false,"macro segment id ","int ","","","","com.itextpdf.kernel.PdfException com.itextpdf.kernel.PdfException ",com.itextpdf.kernel.PdfException
9,"IfStatement","null",false,"macro segment count macro segment id ","int ","","","","com.itextpdf.kernel.PdfException com.itextpdf.kernel.PdfException ",com.itextpdf.kernel.PdfException
10,"IfStatement","null",false,"macro segment count ","int ","","","","com.itextpdf.kernel.PdfException com.itextpdf.kernel.PdfException ",com.itextpdf.kernel.PdfException
11,"IfStatement","null",false,"cw ptr size max_data_codewords ","int ","","","","",com.itextpdf.kernel.PdfException
12,"IfStatement","null",true,"text ","java.lang.String ","NULL ","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
13,"IfStatement","null",false,"idx ","int ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
14,"IfStatement","null",true,"text ","java.lang.String ","NULL ","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
15,"IfStatement","null",false,"digits ","int int ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
16,"IfStatement","null",true,"text ","int java.lang.String char ","","length ","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
17,"IfStatement","null",false,"idx ","int ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
18,"IfStatement","null",false,"","char ","127 ","","","",java.lang.IllegalArgumentException
19,"IfStatement","null",true,"text ","int java.lang.String char ","","length ","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
20,"IfStatement","null",false,"idx ","int ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
21,"SwitchStatement","null",false,"code type ","int ","","","","",com.itextpdf.kernel.PdfException
22,"SwitchStatement","null",false,"code type ","int ","","","","",com.itextpdf.kernel.PdfException
23,"SwitchStatement","null",false,"code type ","int ","","","","",com.itextpdf.kernel.PdfException
24,"IfStatement","null",false,"len ","int ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
25,"IfStatement","null",true,"len start_stop_idx chars text ","java.lang.String int ","","charAt indexOf ","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
26,"IfStatement","null",false,"len idx start_stop_idx ","int ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
27,"IfStatement","null",false,"idx ","int ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
28,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
29,"IfStatement","null",true,"text ","java.lang.String ","","length ","","",com.itextpdf.kernel.PdfException
30,"IfStatement","null",false,"fnc1 ","int char ","127 ","","","com.itextpdf.kernel.PdfException com.itextpdf.kernel.PdfException ",com.itextpdf.kernel.PdfException
31,"IfStatement","null",true,"code set current code auto ","com.itextpdf.barcodes.Barcode128.Barcode128CodeSet char ","","getStartSymbol ","","com.itextpdf.kernel.PdfException com.itextpdf.kernel.PdfException ",com.itextpdf.kernel.PdfException
32,"IfStatement","null",true,"code set current code auto ","com.itextpdf.barcodes.Barcode128.Barcode128CodeSet char ","","getStartSymbol ","","com.itextpdf.kernel.PdfException com.itextpdf.kernel.PdfException ",com.itextpdf.kernel.PdfException
33,"IfStatement","null",false,"end ","int ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
34,"IfStatement","null",false,"sai ","java.lang.String ","","length ","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
35,"IfStatement","null",false,"len ","int ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
36,"IfStatement","null",false,"len end sai next ","int java.lang.String ","","length ","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
37,"CatchClause","com.itextpdf.barcodes.qrcode.WriterException",false,"code hints ","com.itextpdf.barcodes.qrcode.QRCodeWriter java.lang.String com.itextpdf.barcodes.qrcode.ByteMatrix java.util.Map ","","encode ","","",java.lang.IllegalArgumentException
38,"IfStatement","null",true,"index size in bits ","int ","","","","",java.lang.IllegalArgumentException
39,"IfStatement","null",true,"bit ","int ","","","","",java.lang.IllegalArgumentException
40,"IfStatement","null",true,"num bits ","int ","","","","",java.lang.IllegalArgumentException
41,"IfStatement","null",true,"other size in bits ","int com.itextpdf.barcodes.qrcode.BitVector ","","size ","","",java.lang.IllegalArgumentException
42,"IfStatement","null",false,"","int ","","","","",java.lang.IllegalArgumentException
43,"IfStatement","null",true,"dimension ","int ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
44,"CatchClause","java.lang.IllegalArgumentException",true,"dimension ","int ","","getVersionForNumber ","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
45,"IfStatement","null",true,"version number ","int ","","","","",java.lang.IllegalArgumentException
46,"IfStatement","null",true,"size ","int ","","","","",java.lang.IllegalArgumentException
47,"IfStatement","null",true,"end start ","int ","","","","",java.lang.IllegalArgumentException
48,"IfStatement","null",true,"qr_code_field field ","com.itextpdf.barcodes.qrcode.GF256 ","","equals ","","",java.lang.UnsupportedOperationException
49,"IfStatement","null",true,"ec bytes ","int ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
50,"IfStatement","null",false,"data bytes ","int ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
51,"IfStatement","null",true,"contents ","java.lang.String ","NULL ","length ","WriterException ","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
52,"IfStatement","null",true,"height width ","int ","","","WriterException ","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
53,"SwitchStatement","null",true,"bits ","int ","","","","",java.lang.IllegalArgumentException
