@relation "jfreechart"

@attribute iid numeric
@attribute enclosureType string
@attribute catchedType string
@attribute isFromArgument {true, false}
@attribute varNames string
@attribute varTypes string
@attribute constants string
@attribute methodNames string
@attribute methodExceptions string
@attribute otherExceptions string
@attribute classid{java.lang.IllegalArgumentException,java.lang.RuntimeException,java.lang.IllegalStateException,java.lang.NullPointerException,org.jfree.data.UnknownKeyException,org.jfree.data.general.SeriesException,org.jfree.data.time.TimePeriodFormatException}

@data
0,"IfStatement","null",false,"plot ","org.jfree.chart.plot.Plot org.jfree.chart.plot.PolarPlot ","","","","",java.lang.IllegalArgumentException
1,"IfStatement","null",true,"index ","int ","","getSubtitleCount ","","",java.lang.IllegalArgumentException
2,"IfStatement","null",true,"index ","int ","","getSubtitleCount ","","",java.lang.IllegalArgumentException
3,"IfStatement","null",false,"position left ","org.jfree.chart.ui.RectangleEdge ","","","","",java.lang.RuntimeException
4,"IfStatement","null",true,"directory ","java.io.File boolean ","","isDirectory ","","",java.lang.IllegalArgumentException
5,"CatchClause","java.io.IOException",false,"writer ","java.io.BufferedWriter void ","NULL ","close ","IOException ","",java.lang.RuntimeException
6,"IfStatement","null",false,"","java.awt.Graphics2D ","NULL ","","","",java.lang.IllegalStateException
7,"IfStatement","null",false,"","boolean org.jfree.chart.ChartUtils ","","isOrsonPDFAvailable ","","java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException ",java.lang.IllegalStateException
8,"CatchClause","java.lang.ClassNotFoundException",true,"file pdf doc class key_suppress_shadow_generation chart page draw area rect ","java.lang.reflect.Method java.lang.Object java.awt.geom.Rectangle2D java.lang.Class java.awt.Graphics2D int java.io.File org.jfree.chart.JFreeChart void java.awt.RenderingHints.Key java.lang.Class ","writeToFile com.orsonpdf.PDFDocument getGraphics2D createPage ","invoke getMethod draw setRenderingHint getClass newInstance forName ","","java.lang.IllegalStateException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException ",java.lang.RuntimeException
9,"CatchClause","java.lang.InstantiationException",true,"file pdf doc class key_suppress_shadow_generation chart page draw area rect ","java.lang.reflect.Method java.lang.Object java.awt.geom.Rectangle2D java.lang.Class java.awt.Graphics2D int java.io.File org.jfree.chart.JFreeChart void java.awt.RenderingHints.Key java.lang.Class ","writeToFile com.orsonpdf.PDFDocument getGraphics2D createPage ","invoke getMethod draw setRenderingHint getClass newInstance forName ","","java.lang.IllegalStateException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException ",java.lang.RuntimeException
10,"CatchClause","java.lang.IllegalAccessException",true,"file pdf doc class key_suppress_shadow_generation chart page draw area rect ","java.lang.reflect.Method java.lang.Object java.awt.geom.Rectangle2D java.lang.Class java.awt.Graphics2D int java.io.File org.jfree.chart.JFreeChart void java.awt.RenderingHints.Key java.lang.Class ","writeToFile com.orsonpdf.PDFDocument getGraphics2D createPage ","invoke getMethod draw setRenderingHint getClass newInstance forName ","","java.lang.IllegalStateException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException ",java.lang.RuntimeException
11,"CatchClause","java.lang.NoSuchMethodException",true,"file pdf doc class key_suppress_shadow_generation chart page draw area rect ","java.lang.reflect.Method java.lang.Object java.awt.geom.Rectangle2D java.lang.Class java.awt.Graphics2D int java.io.File org.jfree.chart.JFreeChart void java.awt.RenderingHints.Key java.lang.Class ","writeToFile com.orsonpdf.PDFDocument getGraphics2D createPage ","invoke getMethod draw setRenderingHint getClass newInstance forName ","","java.lang.IllegalStateException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException ",java.lang.RuntimeException
12,"CatchClause","java.lang.SecurityException",true,"file pdf doc class key_suppress_shadow_generation chart page draw area rect ","java.lang.reflect.Method java.lang.Object java.awt.geom.Rectangle2D java.lang.Class java.awt.Graphics2D int java.io.File org.jfree.chart.JFreeChart void java.awt.RenderingHints.Key java.lang.Class ","writeToFile com.orsonpdf.PDFDocument getGraphics2D createPage ","invoke getMethod draw setRenderingHint getClass newInstance forName ","","java.lang.IllegalStateException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException ",java.lang.RuntimeException
13,"CatchClause","java.lang.IllegalArgumentException",true,"file pdf doc class key_suppress_shadow_generation chart page draw area rect ","java.lang.reflect.Method java.lang.Object java.awt.geom.Rectangle2D java.lang.Class java.awt.Graphics2D int java.io.File org.jfree.chart.JFreeChart void java.awt.RenderingHints.Key java.lang.Class ","writeToFile com.orsonpdf.PDFDocument getGraphics2D createPage ","invoke getMethod draw setRenderingHint getClass newInstance forName ","","java.lang.IllegalStateException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException ",java.lang.RuntimeException
