@relation "jmonkeyengine"

@attribute iid numeric
@attribute enclosureType string
@attribute catchedType string
@attribute isFromArgument {true, false}
@attribute varNames string
@attribute varTypes string
@attribute constants string
@attribute methodNames string
@attribute methodExceptions string
@attribute otherExceptions string
@attribute classid{java.lang.NullPointerException,java.lang.RuntimeException,java.lang.IllegalStateException,java.lang.IllegalArgumentException,java.lang.UnsupportedOperationException,com.jme3.asset.AssetNotFoundException,com.jme3.asset.AssetLoadException,java.io.IOException,com.jme3.scene.plugins.blender.file.BlenderFileException,java.lang.AssertionError,java.lang.Exception,com.jme3.renderer.RendererException,org.xml.sax.SAXException,com.jme3.material.plugins.MatParseException,com.jme3.network.kernel.KernelException}

@data
0,"IfStatement","null",true,"source ","com.jme3.system.AppSettings ","NULL ","","","",java.lang.NullPointerException
1,"IfStatement","null",false,"app class ","java.lang.String ","NULL ","","","",java.lang.RuntimeException
2,"IfStatement","null",false,"","boolean ","","isInitialized ","","",java.lang.IllegalStateException
3,"IfStatement","null",false,"is ico is cur is ani ","boolean ","","","IOException ","",java.lang.IllegalArgumentException
4,"IfStatement","null",false,"riff ","int ","0x58464952 ","","IOException ","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
5,"IfStatement","null",false,"riff ","int ","0x58464952 ","","IOException ","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
6,"IfStatement","null",true,"icoimage ","byte ","","","IOException ","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
7,"IfStatement","null",true,"icoimage image offset ","int byte ","0x0a 0x50 0x47 0x4e 0x1a 0x0d 0x89 ","ubyte ","IOException ","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
8,"CatchClause","java.net.MalformedURLException",false,"url ","java.net.URL java.lang.StringBuilder java.lang.String ","","toString ","","java.lang.UnsupportedOperationException ",java.lang.UnsupportedOperationException
9,"CatchClause","java.io.IOException",false,"classpath url conn hash ","java.lang.StringBuilder java.net.URL int java.lang.String java.net.URLConnection java.net.MalformedURLException java.lang.Thread java.lang.UnsupportedOperationException long java.lang.System java.lang.ClassLoader ","java.class.path jar: com/jme3/system/NativeLibraryLoader.class ","delete toString length indexOf currentThread openConnection getProperty hashCode getResource getLastModified lastIndexOf ","","java.lang.UnsupportedOperationException ",java.lang.UnsupportedOperationException
10,"IfStatement","null",false,"","boolean com.jme3.system.JmeSystem ","","isLowPermissions ","","java.lang.UnsatisfiedLinkError java.lang.UnsatisfiedLinkError java.lang.UnsatisfiedLinkError java.lang.UnsatisfiedLinkError ",java.lang.UnsupportedOperationException
11,"IfStatement","null",false,"","boolean javax.swing.SwingUtilities ","","isEventDispatchThread ","","java.lang.IllegalStateException com.jme3.asset.AssetNotFoundException ",java.lang.IllegalStateException
12,"IfStatement","null",false,"","java.awt.GraphicsEnvironment boolean ","","isHeadless ","","java.lang.IllegalStateException com.jme3.asset.AssetNotFoundException ",java.lang.IllegalStateException
13,"IfStatement","null",false,"icon url ","java.net.URL ","NULL ","","","java.lang.IllegalStateException java.lang.IllegalStateException ",com.jme3.asset.AssetNotFoundException
14,"SwitchStatement","null",true,"type ","com.jme3.system.JmeContext.Type ","","","","",java.lang.IllegalArgumentException
15,"SwitchStatement","null",true,"type ","com.jme3.system.JmeContext.Type ","","","","",java.lang.IllegalArgumentException
