@relation "lucene"

@attribute iid numeric
@attribute enclosureType string
@attribute catchedType string
@attribute isFromArgument {true, false}
@attribute varNames string
@attribute varTypes string
@attribute constants string
@attribute methodNames string
@attribute methodExceptions string
@attribute otherExceptions string
@attribute classid{java.lang.RuntimeException,java.lang.IllegalArgumentException,java.lang.Error,java.io.IOException,java.lang.AssertionError,java.lang.IllegalStateException,java.text.ParseException,java.lang.UnsupportedOperationException,java.lang.NullPointerException,java.lang.Throwable,java.io.EOFException,java.io.FileNotFoundException,java.lang.Exception,org.apache.lucene.util.ThreadInterruptedException,org.apache.lucene.index.CorruptIndexException,java.lang.IndexOutOfBoundsException,org.apache.lucene.store.AlreadyClosedException,java.util.NoSuchElementException,java.io.UncheckedIOException,NULL,java.nio.file.NoSuchFileException,java.lang.NumberFormatException,org.antlr.v4.runtime.FailedPredicateException,org.apache.lucene.queryparser.classic.ParseException,org.apache.lucene.queryparser.flexible.standard.parser.ParseException,org.apache.lucene.queryparser.surround.parser.ParseException,org.apache.lucene.queryparser.xml.ParserException,junit.framework.AssertionFailedError,org.apache.tools.ant.BuildException}

@data
0,"CatchClause","java.io.IOException",false,"default_stopword_file default_stop_set ","org.apache.lucene.analysis.CharArraySet java.lang.String org.apache.lucene.analysis.ar.ArabicAnalyzer ","","loadStopwordSet ","","",java.lang.RuntimeException
1,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
2,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
3,"CatchClause","java.io.IOException",false,"default_stopword_file default_stop_set ","org.apache.lucene.analysis.CharArraySet java.lang.String org.apache.lucene.analysis.bg.BulgarianAnalyzer ","","loadStopwordSet ","","",java.lang.RuntimeException
4,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
5,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
6,"CatchClause","java.io.IOException",false,"default_stopword_file stopwords_comment default_stop_set ","java.lang.String org.apache.lucene.analysis.CharArraySet org.apache.lucene.analysis.bn.BengaliAnalyzer ","","loadStopwordSet ","","",java.lang.RuntimeException
7,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
8,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
9,"CatchClause","java.io.IOException",false,"default_stopword_file utf_8 default_stop_set ","org.apache.lucene.analysis.CharArraySet java.lang.String java.nio.charset.Charset java.io.Reader java.nio.charset.StandardCharsets org.apache.lucene.analysis.br.BrazilianAnalyzer org.apache.lucene.util.IOUtils org.apache.lucene.analysis.WordlistLoader ","","getDecodingReader getWordSet ","","",java.lang.RuntimeException
10,"CatchClause","java.io.IOException",false,"default_stopword_file default_stop_set ","org.apache.lucene.analysis.CharArraySet java.lang.String org.apache.lucene.analysis.ca.CatalanAnalyzer ","","loadStopwordSet ","","",java.lang.RuntimeException
11,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
12,"MethodDeclaration","null",false,"","","","","","",java.lang.Error
