@relation "pdfbox"

@attribute iid numeric
@attribute enclosureType string
@attribute catchedType string
@attribute isFromArgument {true, false}
@attribute varNames string
@attribute varTypes string
@attribute constants string
@attribute methodNames string
@attribute methodExceptions string
@attribute otherExceptions string
@attribute classid{java.lang.IllegalArgumentException,java.io.IOException,java.lang.IllegalStateException,java.io.EOFException,java.lang.UnsupportedOperationException,java.lang.RuntimeException,org.apache.pdfbox.examples.signature.cert.CertificateVerificationException,java.lang.Exception,org.bouncycastle.cert.ocsp.OCSPException,org.apache.pdfbox.preflight.exception.ValidationException,org.apache.pdfbox.preflight.content.ContentStreamException,org.apache.xmpbox.type.BadFieldValueException,org.apache.xmpbox.xml.XmpParsingException}

@data
0,"IfStatement","null",true,"metric sets value ","int ","","","","",java.lang.IllegalArgumentException
1,"IfStatement","null",false,"start_font_metrics start font metrics ","java.lang.String boolean ","","equals ","IOException ","java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
2,"IfStatement","null",false,"end char metrics end_char_metrics ","java.lang.String boolean ","","equals ","IOException ","java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
3,"IfStatement","null",false,"end composites end_composites ","java.lang.String boolean ","","equals ","IOException ","java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
4,"SwitchStatement","null",false,"next command ","java.lang.String ","","","IOException ","java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
5,"IfStatement","null",false,"end_track_kern end track kern ","java.lang.String boolean ","","equals ","IOException ","java.io.IOException java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
6,"IfStatement","null",false,"end kern pairs end_kern_pairs ","java.lang.String boolean ","","equals ","IOException ","java.io.IOException java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
7,"IfStatement","null",false,"end kern pairs0 end_kern_pairs ","java.lang.String boolean ","","equals ","IOException ","java.io.IOException java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
8,"IfStatement","null",false,"end_kern_pairs end kern pairs1 ","java.lang.String boolean ","","equals ","IOException ","java.io.IOException java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
9,"SwitchStatement","null",false,"next command ","java.lang.String ","","","IOException ","java.io.IOException java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
10,"SwitchStatement","null",false,"cmd ","java.lang.String ","","","IOException ","",java.io.IOException
11,"IfStatement","null",true,"hex string ","java.lang.String int ","","length ","IOException ","java.io.IOException java.io.IOException ",java.io.IOException
12,"IfStatement","null",true,"hex string ","java.lang.String char int ","","charAt length ","IOException ","java.io.IOException java.io.IOException ",java.io.IOException
13,"CatchClause","java.lang.NumberFormatException",false,"bits_in_hex hex data ","int java.lang.String byte java.lang.Integer ","","parseInt ","IOException ","java.io.IOException java.io.IOException ",java.io.IOException
14,"IfStatement","null",false,"","java.lang.String boolean ","","equals ","IOException ","java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
15,"CatchClause","java.lang.NumberFormatException",false,"tokenizer part count ","int java.util.StringTokenizer java.lang.String java.lang.Integer ","","nextToken parseInt ","IOException ","java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
16,"IfStatement","null",false,"pcc pcc ","java.lang.String boolean ","","equals ","IOException ","java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
17,"CatchClause","java.lang.NumberFormatException",false,"part name part tokenizer composite ","int org.apache.fontbox.afm.CompositePart java.lang.String void java.util.StringTokenizer org.apache.fontbox.afm.Composite java.lang.Integer ","","nextToken parseInt setYDisplacement addPart setXDisplacement setName ","IOException ","java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
18,"SwitchStatement","null",false,"next command ","java.lang.String ","","","IOException ","java.io.IOException ",java.io.IOException
19,"CatchClause","java.lang.NumberFormatException",false,"charmetrics_w1y charmetrics_w1x metrics tokenizer char code c h charmetrics_c char metric charmetrics_b lig charmetrics_ch box char code c ","java.util.StringTokenizer java.lang.String void float org.apache.fontbox.afm.CharMetric float java.lang.Float org.apache.fontbox.util.BoundingBox org.apache.fontbox.afm.Ligature int java.lang.Integer ","Unknown CharMetrics command ' ","nextToken parseFloat verifySemicolon setCharacterCode parseInt setUpperRightY setBoundingBox setUpperRightX setSuccessor setWy setWx ","IOException ","java.io.IOException ",java.io.IOException
20,"IfStatement","null",false,"semicolon ","java.lang.String boolean ","","equals ","IOException ","java.io.IOException ",java.io.IOException
21,"IfStatement","null",true,"tokenizer ","java.util.StringTokenizer boolean ","","hasMoreTokens ","IOException ","java.io.IOException ",java.io.IOException
22,"CatchClause","java.lang.NumberFormatException",false,"the int ","java.lang.String int java.lang.Integer ","","parseInt ","IOException ","",java.io.IOException
23,"IfStatement","null",false,"is c i d font ","boolean ","","","","",java.lang.IllegalStateException
24,"IfStatement","null",false,"is c i d font ","boolean ","","","","",java.lang.IllegalStateException
25,"IfStatement","null",false,"is c i d font ","boolean ","","","","",java.lang.IllegalStateException
26,"IfStatement","null",false,"is c i d font ","boolean ","","","","",java.lang.IllegalStateException
27,"IfStatement","null",false,"is c i d font ","boolean ","","","","",java.lang.IllegalStateException
