@relation "poi"

@attribute iid numeric
@attribute enclosureType string
@attribute catchedType string
@attribute isFromArgument {true, false}
@attribute varNames string
@attribute varTypes string
@attribute constants string
@attribute methodNames string
@attribute methodExceptions string
@attribute otherExceptions string
@attribute classid{org.apache.poi.EncryptedDocumentException,java.io.IOException,java.lang.IllegalStateException,java.lang.IllegalArgumentException,java.lang.UnsupportedOperationException,java.lang.RuntimeException,java.util.NoSuchElementException,org.apache.poi.util.RecordFormatException,org.apache.poi.hpsf.HPSFRuntimeException,java.lang.Exception,java.lang.ArrayIndexOutOfBoundsException,java.lang.NullPointerException,java.lang.IndexOutOfBoundsException,java.io.FileNotFoundException,org.apache.poi.ss.formula.eval.NotImplementedException,org.apache.poi.ss.formula.FormulaParseException,org.apache.poi.ss.formula.eval.EvaluationException,org.apache.poi.ss.formula.eval.ErrorEval,org.apache.poi.ooxml.POIXMLException,org.apache.poi.openxml4j.exceptions.InvalidFormatException,org.apache.poi.openxml4j.exceptions.InvalidOperationException,org.apache.poi.xssf.binary.XSSFBParseException,org.apache.poi.hslf.exceptions.HSLFException,org.apache.poi.hslf.exceptions.CorruptPowerPointFileException}

@data
0,"IfStatement","null",false,"encrypted stream dir node ","java.lang.String org.apache.poi.poifs.filesystem.DirectoryNode boolean ","","hasEntry ","IOException ","java.io.IOException java.io.IOException ",org.apache.poi.EncryptedDocumentException
1,"CatchClause","java.io.IOException",true,"enc poifs encrypted stream encryption info dis step set name dir node dec ","java.lang.String org.apache.poi.poifs.filesystem.DirectoryNode org.apache.poi.poifs.filesystem.DocumentInputStream org.apache.poi.poifs.crypt.EncryptionInfo org.apache.poi.poifs.crypt.cryptoapi.CryptoAPIDecryptor org.apache.poi.poifs.filesystem.POIFSFileSystem boolean org.apache.poi.poifs.crypt.Decryptor org.apache.poi.hpsf.PropertySet org.apache.poi.EncryptedDocumentException org.apache.poi.hpsf.PropertySetFactory ","NULL getting creating can't find encrypted property stream ' getting encrypted ","hasEntry getDecryptor getEntry isDocPropsEncrypted create getEncryptedPropertyStreamName createDocumentInputStream getRoot getSummaryEntries ","IOException ","org.apache.poi.EncryptedDocumentException java.io.IOException ",java.io.IOException
2,"CatchClause","java.lang.Exception",true,"enc poifs encrypted stream encryption info dis step set name dir node dec ","java.lang.String org.apache.poi.poifs.filesystem.DirectoryNode org.apache.poi.poifs.filesystem.DocumentInputStream org.apache.poi.poifs.crypt.EncryptionInfo org.apache.poi.poifs.crypt.cryptoapi.CryptoAPIDecryptor org.apache.poi.poifs.filesystem.POIFSFileSystem boolean org.apache.poi.poifs.crypt.Decryptor org.apache.poi.hpsf.PropertySet org.apache.poi.EncryptedDocumentException org.apache.poi.hpsf.PropertySetFactory ","NULL getting creating can't find encrypted property stream ' getting encrypted ","hasEntry getDecryptor getEntry isDocPropsEncrypted create getEncryptedPropertyStreamName createDocumentInputStream getRoot getSummaryEntries ","IOException ","org.apache.poi.EncryptedDocumentException java.io.IOException ",java.io.IOException
3,"IfStatement","null",false,"enc gen ","org.apache.poi.poifs.crypt.Encryptor org.apache.poi.poifs.crypt.cryptoapi.CryptoAPIEncryptor ","","","IOException ","java.io.IOException ",org.apache.poi.EncryptedDocumentException
4,"CatchClause","java.security.GeneralSecurityException",true,"enc out f s ","org.apache.poi.poifs.filesystem.POIFSFileSystem org.apache.poi.poifs.crypt.cryptoapi.CryptoAPIEncryptor java.lang.String org.apache.poi.poifs.filesystem.DirectoryNode void ","","getEncryptedPropertyStreamName getRoot setSummaryEntries ","IOException ","org.apache.poi.EncryptedDocumentException ",java.io.IOException
5,"IfStatement","null",false,"directory ","org.apache.poi.poifs.filesystem.DirectoryNode ","NULL ","","IllegalStateException ","java.lang.IllegalStateException java.lang.IllegalStateException ",java.lang.IllegalStateException
6,"IfStatement","null",false,"directory ","org.apache.poi.poifs.filesystem.DirectoryNode org.apache.poi.poifs.filesystem.DirectoryEntry ","NULL ","getParent ","IllegalStateException ","java.lang.IllegalStateException java.lang.IllegalStateException ",java.lang.IllegalStateException
7,"IfStatement","null",false,"directory ","org.apache.poi.poifs.filesystem.DirectoryNode org.apache.poi.poifs.filesystem.POIFSFileSystem boolean ","NULL ","getFileSystem isInPlaceWriteable ","IllegalStateException ","java.lang.IllegalStateException java.lang.IllegalStateException ",java.lang.IllegalStateException
8,"MethodDeclaration","null",false,"","","","","","",java.lang.IllegalStateException
9,"IfStatement","null",false,"type ","org.apache.poi.common.usermodel.HyperlinkType ","NULL ","","","",java.lang.IllegalArgumentException
10,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
11,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
12,"IfStatement","null",false,"version ","int ","0x00010000 0x00020002 0x00020001 ","","","java.lang.RuntimeException ",java.lang.RuntimeException
13,"IfStatement","null",false,"magic ","int ","0x504C ","","","java.lang.RuntimeException ",java.lang.RuntimeException
14,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
15,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
16,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
17,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
18,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
19,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
20,"IfStatement","null",true,"child records _child records ","java.util.List ","","","","",java.lang.IllegalStateException
21,"IfStatement","null",false,"leftover cd len ","int ","","","","",java.lang.IllegalStateException
22,"SwitchStatement","null",false,"bytes remaining ","int ","","","","",java.lang.RuntimeException
23,"IfStatement","null",false,"","boolean ","","hasNext ","","",java.util.NoSuchElementException
24,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
25,"IfStatement","null",true,"value ","short ","0x3 ","","","",java.lang.IllegalArgumentException
26,"IfStatement","null",true,"uid length ","byte int ","NULL ","","","",java.lang.IllegalArgumentException
27,"IfStatement","null",true,"primary u i d length ","byte int ","NULL ","","","",java.lang.IllegalArgumentException
28,"CatchClause","java.io.IOException",true,"bos dos raw_picture data picture data ","java.io.ByteArrayOutputStream java.util.zip.DeflaterOutputStream byte void ","","toByteArray write close ","","",java.lang.RuntimeException
29,"IfStatement","null",false,"bytes remaining ","int ","","","","",org.apache.poi.util.RecordFormatException
30,"IfStatement","null",true,"length offset picture data ","int byte ","NULL ","","","",java.lang.IllegalArgumentException
31,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
32,"IfStatement","null",false,"size ","int ","","getRecordSize ","","",org.apache.poi.util.RecordFormatException
33,"IfStatement","null",true,"length field_1_ u i d ","byte int ","NULL ","","","",java.lang.IllegalArgumentException
34,"IfStatement","null",true,"uid length ","byte int ","NULL ","","","",java.lang.IllegalArgumentException
35,"IfStatement","null",false,"bytes remaining ","int ","","","","",org.apache.poi.util.RecordFormatException
36,"IfStatement","null",false,"bytes remaining ","int ","","","","",org.apache.poi.util.RecordFormatException
37,"CatchClause","java.lang.IllegalArgumentException",true,"cls input ","java.lang.reflect.Method java.io.InputStream java.lang.Object java.lang.Class java.lang.Class ","createExtractor NULL ","invoke getDeclaredMethod ","IOException ","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
38,"CatchClause","java.lang.Exception",true,"cls input ","java.lang.reflect.Method java.io.InputStream java.lang.Object java.lang.Class java.lang.Class ","createExtractor NULL ","invoke getDeclaredMethod ","IOException ","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
