@relation "shiro"

@attribute iid numeric
@attribute enclosureType string
@attribute catchedType string
@attribute isFromArgument {true, false}
@attribute varNames string
@attribute varTypes string
@attribute constants string
@attribute methodNames string
@attribute methodExceptions string
@attribute otherExceptions string
@attribute classid{java.lang.IllegalStateException,java.lang.IllegalArgumentException,java.lang.NullPointerException,org.apache.shiro.config.ConfigurationException,org.apache.shiro.authc.AuthenticationException,org.apache.shiro.session.InvalidSessionException,org.apache.shiro.cache.CacheException}

@data
0,"IfStatement","null",false,"_is running ","boolean ","","","","",java.lang.IllegalStateException
1,"CatchClause","org.apache.shiro.samples.aspectj.bank.NotEnoughFundsException",true,"an amount an account id log ","org.apache.shiro.samples.aspectj.bank.Account org.apache.shiro.samples.aspectj.bank.AccountTransaction long void double org.slf4j.Logger java.lang.String ","New balance of account  Created a new transaction   after deposit is  ","debug getBalance applyTransaction getId getCurrentUsername setCreatedBy safellyRetrieveAccountForId createDepositTx ","AccountNotFoundException InactiveAccountException ","",java.lang.IllegalStateException
2,"CatchClause","org.apache.shiro.samples.aspectj.bank.NotEnoughFundsException",false,"log ","org.apache.shiro.samples.aspectj.bank.AccountTransaction org.apache.shiro.samples.aspectj.bank.Account void org.slf4j.Logger double long java.lang.String ","Account  Created a new transaction   is now closed and an amount of   is given to the owner ","getAmount debug getId setCreatedBy setActive getCurrentUsername applyTransaction getBalance createWithdrawalTx ","AccountNotFoundException InactiveAccountException ","org.apache.shiro.samples.aspectj.bank.InactiveAccountException ",java.lang.IllegalStateException
3,"IfStatement","null",false,"subject ","org.apache.shiro.subject.Subject java.lang.Object boolean ","NULL ","isAuthenticated getPrincipal ","","",java.lang.IllegalStateException
4,"IfStatement","null",true,"a transaction withdrawal ","org.apache.shiro.samples.aspectj.bank.AccountTransaction.TransactionType org.apache.shiro.samples.aspectj.bank.AccountTransaction ","","getType ","NotEnoughFundsException InactiveAccountException ","org.apache.shiro.samples.aspectj.bank.InactiveAccountException org.apache.shiro.samples.aspectj.bank.NotEnoughFundsException ",java.lang.IllegalArgumentException
5,"IfStatement","null",true,"name ","java.lang.String boolean org.apache.shiro.util.StringUtils ","","hasText ","IllegalArgumentException CacheException ","",java.lang.IllegalArgumentException
6,"IfStatement","null",true,"name ","java.lang.String ","NULL ","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
7,"IfStatement","null",true,"backing map ","java.util.Map ","NULL ","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
8,"IfStatement","null",true,"streaming mode name ","java.lang.String boolean ","","isModeStreamingCompatible ","","",java.lang.IllegalArgumentException
9,"IfStatement","null",false,"streaming mode name ","java.lang.String boolean ","","isModeInitializationVectorCompatible ","","java.lang.IllegalStateException ",java.lang.IllegalStateException
10,"IfStatement","null",false,"mode name ","java.lang.String boolean ","","isModeInitializationVectorCompatible ","","java.lang.IllegalStateException ",java.lang.IllegalStateException
11,"IfStatement","null",true,"algorithm name ","java.lang.String boolean org.apache.shiro.util.StringUtils ","","hasText ","","",java.lang.IllegalArgumentException
12,"IfStatement","null",true,"bits_per_byte initialization vector size ","int ","","","IllegalArgumentException ","",java.lang.IllegalArgumentException
13,"IfStatement","null",false,"size ","int ","","","","java.lang.IllegalStateException ",java.lang.IllegalStateException
14,"IfStatement","null",false,"size bits_per_byte ","int ","","","","java.lang.IllegalStateException ",java.lang.IllegalStateException
15,"IfStatement","null",false,"iv bytes length ","byte int ","NULL ","","","",java.lang.IllegalStateException
16,"IfStatement","null",true,"key length ","byte int ","NULL ","","IllegalArgumentException CryptoException ","",java.lang.IllegalArgumentException
17,"IfStatement","null",false,"length ","byte int ","NULL ","","CryptoException ","",java.lang.IllegalStateException
18,"IfStatement","null",true,"","java.io.InputStream ","NULL ","","CryptoException ","java.lang.NullPointerException org.apache.shiro.crypto.CryptoException ",java.lang.NullPointerException
19,"IfStatement","null",true,"out ","java.io.OutputStream ","NULL ","","CryptoException ","java.lang.NullPointerException org.apache.shiro.crypto.CryptoException ",java.lang.NullPointerException
20,"CatchClause","java.security.NoSuchAlgorithmException",false,"","javax.crypto.KeyGenerator java.lang.String ","","getAlgorithmName getInstance ","","",java.lang.IllegalStateException
21,"IfStatement","null",true,"defaults ","org.apache.shiro.config.Ini ","NULL ","","","",java.lang.NullPointerException
22,"IfStatement","null",true,"resource path ","java.lang.String boolean org.apache.shiro.util.StringUtils ","","hasLength ","ConfigurationException ","",java.lang.IllegalArgumentException
